Method,alpha,City 1 Accuracy,City 1 Precision,City 1 Recall,City 1 $F_{0.5}$,City 2 Accuracy,City 2 Precision,City 2 Recall,City 2 $F_{0.5}$,City 3 Accuracy,City 3 Precision,City 3 Recall,City 3 $F_{0.5}$
TSLE_L0,0.15,93.16%,97.01%,87.96%,95.06%,89.29%,93.63%,72.66%,88.52%,93.23%,96.55%,89.77%,95.11%
,,(0.0165),(0.0228),(0.0214),(0.0225),(0.0162),(0.0192),(0.0149),(0.0181),(0.0158),(0.0227),(0.0216),(0.0224)
,0.20,89.59%,96.87%,87.87%,94.93%,84.27%,92.86%,72.10%,87.80%,89.00%,96.80%,90.04%,95.37%
,,(0.0197),(0.0198),(0.0184),(0.0195),(0.0181),(0.0152),(0.0117),(0.0143),(0.0214),(0.0151),(0.0142),(0.0149)
,0.30,81.09%,96.86%,87.97%,94.94%,72.50%,90.58%,70.36%,85.66%,80.57%,96.74%,89.98%,95.30%
,,(0.0285),(0.0119),(0.0112),(0.0118),(0.0185),(0.0148),(0.0116),(0.0140),(0.0299),(0.0096),(0.0090),(0.0095)
TSLE_Lasso,0.15,99.20%,97.36%,99.60%,97.79%,96.79%,90.94%,95.99%,91.90%,98.16%,98.17%,99.02%,98.34%
,,(0.0041),(0.0149),(0.0028),(0.0123),(0.0058),(0.0174),(0.0060),(0.0146),(0.0318),(0.0060),(0.0020),(0.0050)
,0.20,98.39%,96.12%,99.46%,96.77%,94.03%,88.41%,94.70%,89.60%,96.65%,97.65%,98.73%,97.86%
,,(0.0058),(0.0155),(0.0026),(0.0127),(0.0130),(0.0203),(0.0055),(0.0172),(0.0472),(0.0058),(0.0017),(0.0047)
,0.30,95.25%,93.20%,99.10%,94.32%,85.79%,83.49%,92.32%,85.11%,91.63%,96.38%,98.12%,96.73%
,,(0.0155),(0.0201),(0.0028),(0.0166),(0.0227),(0.0188),(0.0058),(0.0159),(0.0825),(0.0076),(0.0019),(0.0063)
TSLE_MCP,0.15,99.65%,98.83%,99.72%,99.00%,97.02%,91.65%,95.66%,92.42%,98.93%,96.56%,98.77%,96.99%
,,(0.0022),(0.0081),(0.0022),(0.0067),(0.0045),(0.0150),(0.0073),(0.0129),(0.0033),(0.0120),(0.0034),(0.0094)
,0.20,99.29%,98.32%,99.58%,98.57%,95.11%,90.49%,94.49%,91.26%,98.19%,95.84%,98.66%,96.38%
,,(0.0033),(0.0086),(0.0026),(0.0072),(0.0058),(0.0143),(0.0070),(0.0124),(0.0051),(0.0139),(0.0044),(0.0107)
,0.30,98.26%,97.55%,99.39%,97.91%,89.58%,88.19%,92.90%,89.07%,96.51%,95.36%,98.36%,95.94%
,,(0.0048),(0.0077),(0.0020),(0.0064),(0.0211),(0.0267),(0.0091),(0.0213),(0.0072),(0.0119),(0.0055),(0.0089)
