Method,$\alpha$,City 1 | Accuracy,City 1 | Precision,City 1 | Recall,City 1 | $F_{0.5}$,City 2 | Accuracy,City 2 | Precision,City 2 | Recall,City 2 | $F_{0.5}$,City 3 | Accuracy,City 3 | Precision,City 3 | Recall,City 3 | $F_{0.5}$
TSLESCAD,0.01,99.46\% (0.0013),72.52\% (0.0648),72.34\% (0.0635),72.48\% (0.0645),99.36\% (0.0009),68.52\% (0.0456),68.58\% (0.0458),68.53\% (0.0455),99.16\% (0.0006),58.12\% (0.0294),57.78\% (0.0296),58.05\% (0.0294)
TSLESCAD,0.05,97.22\% (0.0026),73.22\% (0.0266),72.21\% (0.0259),73.01\% (0.0262),96.57\% (0.0021),67.75\% (0.0195),67.40\% (0.0185),67.68\% (0.0190),95.72\% (0.0013),58.72\% (0.0139),57.33\% (0.0136),58.44\% (0.0138)
TSLESCAD,0.10,94.41\% (0.0034),74.36\% (0.0178),72.15\% (0.0171),73.91\% (0.0173),92.77\% (0.0032),67.81\% (0.0149),66.75\% (0.0143),67.59\% (0.0145),91.37\% (0.0020),59.97\% (0.0100),57.09\% (0.0091),59.37\% (0.0096)
TSLEMerged,0.01,100.00\% (0.0001),99.91\% (0.0085),100.00\% (0.0000),99.93\% (0.0069),99.99\% (0.0003),99.36\% (0.0125),99.81\% (0.0051),99.45\% (0.0106),99.99\% (0.0001),99.77\% (0.0053),99.95\% (0.0016),99.80\% (0.0044)
TSLEMerged,0.05,99.97\% (0.0006),99.73\% (0.0062),99.97\% (0.0016),99.78\% (0.0051),99.68\% (0.0012),97.48\% (0.0096),99.21\% (0.0048),97.82\% (0.0082),99.90\% (0.0005),99.13\% (0.0060),99.78\% (0.0016),99.26\% (0.0049)
TSLEMerged,0.10,99.87\% (0.0013),99.40\% (0.0065),99.85\% (0.0024),99.49\% (0.0055),98.85\% (0.0025),95.75\% (0.0106),98.36\% (0.0057),96.26\% (0.0093),99.60\% (0.0014),98.22\% (0.0087),99.60\% (0.0015),98.49\% (0.0070)
TSLERandom,0.01,100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),99.97\% (0.0003),98.76\% (0.0133),99.64\% (0.0066),98.94\% (0.0113),99.99\% (0.0001),99.61\% (0.0051),99.81\% (0.0033),99.65\% (0.0045)
TSLERandom,0.05,99.95\% (0.0006),99.65\% (0.0056),99.81\% (0.0028),99.68\% (0.0049),99.72\% (0.0012),97.89\% (0.0092),99.26\% (0.0048),98.16\% (0.0080),99.95\% (0.0003),99.64\% (0.0020),99.86\% (0.0013),99.69\% (0.0018)
TSLERandom,0.10,99.91\% (0.0009),99.67\% (0.0038),99.92\% (0.0017),99.72\% (0.0032),99.17\% (0.0018),97.06\% (0.0069),98.88\% (0.0036),97.42\% (0.0060),99.84\% (0.0005),99.46\% (0.0019),99.78\% (0.0010),99.52\% (0.0016)
TSLEAddition,0.01,100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000)
TSLEAddition,0.05,100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000)
TSLEAddition,0.10,100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000)
