table_name,city,ratio,method,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f05,f05_std,n_exp_current,source_path,matrix_type
Table S.2,city1,0.01,MCP,0.9946550956831329,0.001244507525946261,0.7296475153455689,0.0639908230134203,0.7293181818181819,0.062909402915674,0.7295561070326905,0.06363434447677872,100,results/other_methods/othermethods_original_city1_ratio0.01.xlsx,original
Table S.2,city1,0.01,Lasso,0.9939363595905654,0.001398288388895419,0.709980019074537,0.06581451055969405,0.7545454545454545,0.06452304348444725,0.7182284342224823,0.06432987244489086,100,results/other_methods/othermethods_original_city1_ratio0.01.xlsx,original
Table S.2,city1,0.01,L0,0.9928682688028482,0.001068728021599534,0.7259163473818646,0.08360497932904867,0.4775,0.05562334592210583,0.6574919871794872,0.07592251031023141,100,results/other_methods/othermethods_original_city1_ratio0.01.xlsx,original
Table S.2,city1,0.05,MCP,0.9723987538940808,0.002442629355096836,0.7337774810462406,0.02524313753405171,0.7249553571428572,0.02451616468770957,0.7319761107597799,0.02479914367726455,100,results/other_methods/othermethods_original_city1_ratio0.05.xlsx,original
Table S.2,city1,0.05,Lasso,0.9649888740542946,0.00366180143165556,0.6945644647037397,0.02857757848582746,0.7918303571428571,0.02963058453994067,0.7118427898521285,0.02600675464736824,100,results/other_methods/othermethods_original_city1_ratio0.05.xlsx,original
Table S.2,city1,0.05,L0,0.9610680907877169,0.002620800526860571,0.7430405547836212,0.03255997733823281,0.4892857142857142,0.02171497590538447,0.6732087750269057,0.02956969002427182,100,results/other_methods/othermethods_original_city1_ratio0.05.xlsx,original
Table S.2,city1,0.10,MCP,0.9438718291054738,0.0032527546647036,0.741806949933267,0.01754736928521736,0.7217817371937639,0.01637745071009068,0.7376965345368542,0.01694880267812499,100,results/other_methods/othermethods_original_city1_ratio0.10.xlsx,original
Table S.2,city1,0.10,Lasso,0.9255251446372944,0.005158571572240199,0.6919345790629304,0.01878610876411701,0.8057906458797328,0.02301003388559808,0.7118779146859987,0.01593765818360415,100,results/other_methods/othermethods_original_city1_ratio0.10.xlsx,original
Table S.2,city1,0.10,L0,0.916161548731642,0.004897626134635948,0.7510176523509329,0.02295115875804406,0.4941648106904231,0.01511946005749532,0.6802966866080464,0.02077909867612223,100,results/other_methods/othermethods_original_city1_ratio0.10.xlsx,original
Table S.2,city2,0.01,MCP,0.9934374999999999,0.0009940899059801194,0.675496757510712,0.04937703620615556,0.6837894736842105,0.04876127613036287,0.6770961832262469,0.0489828206131535,100,results/other_methods/othermethods_original_city2_ratio0.01.xlsx,original
Table S.2,city2,0.01,Lasso,0.992837667785235,0.001220729473120559,0.66545534899567,0.04755524982740518,0.7095789473684212,0.0497549674575675,0.6736545830581346,0.04678420299974395,100,results/other_methods/othermethods_original_city2_ratio0.01.xlsx,original
Table S.2,city2,0.01,L0,0.9917040687919463,0.0008056114566126828,0.694749149659864,0.06914918121134751,0.3642105263157895,0.03652495067978415,0.5880086932468636,0.05862094115387828,100,results/other_methods/othermethods_original_city2_ratio0.01.xlsx,original
Table S.2,city2,0.05,MCP,0.9645721476510067,0.002118845032902629,0.6622738871736606,0.02116071962631298,0.6683613445378153,0.01941890261286527,0.6634553178639342,0.02039609624922671,100,results/other_methods/othermethods_original_city2_ratio0.05.xlsx,original
Table S.2,city2,0.05,Lasso,0.9565195050335568,0.003852262504318078,0.6326374916640419,0.02293450739888588,0.7436134453781513,0.02117980499292117,0.6519829419302454,0.02100949512851995,100,results/other_methods/othermethods_original_city2_ratio0.05.xlsx,original
Table S.2,city2,0.05,L0,0.9542984479865773,0.003007498231309907,0.6910974579725455,0.03081659364069519,0.3646638655462185,0.01618105359066597,0.5861544148166283,0.02607447718176177,100,results/other_methods/othermethods_original_city2_ratio0.05.xlsx,original
Table S.2,city2,0.10,MCP,0.9256050755033556,0.003319105382350917,0.6620565788044206,0.01627891436196764,0.657124868835257,0.01462142379631409,0.661046757547644,0.01558148738581839,100,results/other_methods/othermethods_original_city2_ratio0.10.xlsx,original
