Method,$\alpha$,City 1 | Accuracy,City 1 | Precision,City 1 | Recall,City 1 | $F_{0.5}$,City 2 | Accuracy,City 2 | Precision,City 2 | Recall,City 2 | $F_{0.5}$,City 3 | Accuracy,City 3 | Precision,City 3 | Recall,City 3 | $F_{0.5}$
TSLESCAD,0.15,91.48\% (0.0053),75.10\% (0.0180),72.00\% (0.0162),74.45\% (0.0174),88.55\% (0.0054),68.16\% (0.0341),65.35\% (0.0666),66.79\% (0.0677),86.99\% (0.0028),61.33\% (0.0090),57.06\% (0.0075),60.43\% (0.0082)
TSLESCAD,0.20,88.57\% (0.0057),76.07\% (0.0135),72.04\% (0.0133),75.23\% (0.0131),84.14\% (0.0055),68.13\% (0.0118),65.23\% (0.0088),67.53\% (0.0104),82.66\% (0.0029),62.96\% (0.0073),56.89\% (0.0058),61.64\% (0.0065)
TSLESCAD,0.30,82.48\% (0.0066),78.09\% (0.0105),72.01\% (0.0095),76.79\% (0.0098),74.23\% (0.0121),68.76\% (0.0158),63.82\% (0.0089),67.71\% (0.0125),73.96\% (0.0044),66.21\% (0.0071),56.65\% (0.0051),64.05\% (0.0057)
TSLEMerged,0.15,99.67\% (0.0024),99.00\% (0.0076),99.78\% (0.0020),99.16\% (0.0064),97.50\% (0.0036),94.12\% (0.0101),97.48\% (0.0051),94.77\% (0.0085),99.19\% (0.0020),97.78\% (0.0077),99.39\% (0.0017),98.10\% (0.0062)
TSLEMerged,0.20,99.38\% (0.0032),98.68\% (0.0080),99.72\% (0.0021),98.89\% (0.0067),95.79\% (0.0041),93.04\% (0.0087),96.52\% (0.0051),93.71\% (0.0072),98.50\% (0.0039),96.98\% (0.0116),99.21\% (0.0018),97.41\% (0.0093)
TSLEMerged,0.30,98.45\% (0.0046),97.98\% (0.0069),99.48\% (0.0023),98.28\% (0.0058),90.52\% (0.0130),90.29\% (0.0186),94.74\% (0.0079),91.14\% (0.0149),96.88\% (0.0057),96.28\% (0.0100),98.84\% (0.0026),96.78\% (0.0078)
TSLERandom,0.15,99.91\% (0.0011),99.78\% (0.0032),99.93\% (0.0012),99.81\% (0.0027),98.53\% (0.0023),96.67\% (0.0058),98.72\% (0.0031),97.07\% (0.0050),99.72\% (0.0008),99.39\% (0.0018),99.75\% (0.0010),99.46\% (0.0016)
TSLERandom,0.20,99.88\% (0.0012),99.79\% (0.0025),99.94\% (0.0010),99.82\% (0.0021),97.93\% (0.0028),96.69\% (0.0050),98.64\% (0.0030),97.07\% (0.0044),99.61\% (0.0009),99.39\% (0.0015),99.74\% (0.0009),99.46\% (0.0013)
TSLERandom,0.30,99.87\% (0.0013),99.86\% (0.0016),99.96\% (0.0006),99.88\% (0.0014),97.22\% (0.0033),97.28\% (0.0038),98.77\% (0.0026),97.57\% (0.0034),99.47\% (0.0010),99.50\% (0.0011),99.77\% (0.0007),99.55\% (0.0009)
TSLEAddition,0.15,100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000)
TSLEAddition,0.20,100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000)
TSLEAddition,0.30,100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000),100.00\% (0.0000)
