Method,alpha,City 1 Accuracy,City 1 Precision,City 1 Recall,City 1 $F_{0.5}$,City 2 Accuracy,City 2 Precision,City 2 Recall,City 2 $F_{0.5}$,City 3 Accuracy,City 3 Precision,City 3 Recall,City 3 $F_{0.5}$
TSLE_SCAD,0.01,99.46%,72.52%,72.34%,72.48%,99.36%,68.52%,68.58%,68.53%,99.16%,58.12%,57.78%,58.05%
,,(0.0013),(0.0648),(0.0635),(0.0645),(0.0009),(0.0456),(0.0458),(0.0455),(0.0006),(0.0294),(0.0296),(0.0294)
,0.05,97.22%,73.22%,72.21%,73.01%,96.57%,67.75%,67.40%,67.68%,95.72%,58.72%,57.33%,58.44%
,,(0.0026),(0.0266),(0.0259),(0.0262),(0.0021),(0.0195),(0.0185),(0.0190),(0.0013),(0.0139),(0.0136),(0.0138)
,0.10,94.41%,74.36%,72.15%,73.91%,92.77%,67.81%,66.75%,67.59%,91.37%,59.97%,57.09%,59.37%
,,(0.0034),(0.0178),(0.0171),(0.0173),(0.0032),(0.0149),(0.0143),(0.0145),(0.0020),(0.0100),(0.0091),(0.0096)
TSLE_Merged,0.01,100.00%,99.91%,100.00%,99.93%,99.99%,99.36%,99.81%,99.45%,99.99%,99.77%,99.95%,99.80%
,,(0.0001),(0.0085),(0.0000),(0.0069),(0.0003),(0.0125),(0.0051),(0.0106),(0.0001),(0.0053),(0.0016),(0.0044)
,0.05,99.97%,99.73%,99.97%,99.78%,99.68%,97.48%,99.21%,97.82%,99.90%,99.13%,99.78%,99.26%
,,(0.0006),(0.0062),(0.0016),(0.0051),(0.0012),(0.0096),(0.0048),(0.0082),(0.0005),(0.0060),(0.0016),(0.0049)
,0.10,99.87%,99.40%,99.85%,99.49%,98.85%,95.75%,98.36%,96.26%,99.60%,98.22%,99.60%,98.49%
,,(0.0013),(0.0065),(0.0024),(0.0055),(0.0025),(0.0106),(0.0057),(0.0093),(0.0014),(0.0087),(0.0015),(0.0070)
TSLE_Random,0.01,100.00%,100.00%,100.00%,100.00%,99.97%,98.76%,99.64%,98.94%,99.99%,99.61%,99.81%,99.65%
,,(0.0000),(0.0000),(0.0000),(0.0000),(0.0003),(0.0133),(0.0066),(0.0113),(0.0001),(0.0051),(0.0033),(0.0045)
,0.05,99.95%,99.65%,99.81%,99.68%,99.72%,97.89%,99.26%,98.16%,99.95%,99.64%,99.86%,99.69%
,,(0.0006),(0.0056),(0.0028),(0.0049),(0.0012),(0.0092),(0.0048),(0.0080),(0.0003),(0.0020),(0.0013),(0.0018)
,0.10,99.91%,99.67%,99.92%,99.72%,99.17%,97.06%,98.88%,97.42%,99.84%,99.46%,99.78%,99.52%
,,(0.0009),(0.0038),(0.0017),(0.0032),(0.0018),(0.0069),(0.0036),(0.0060),(0.0005),(0.0019),(0.0010),(0.0016)
TSLE_Addition,0.01,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000)
,0.05,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000)
,0.10,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000),(0.0000)
