Method,alpha,City 1 Accuracy,City 1 Precision,City 1 Recall,City 1 $F_{0.5}$,City 2 Accuracy,City 2 Precision,City 2 Recall,City 2 $F_{0.5}$,City 3 Accuracy,City 3 Precision,City 3 Recall,City 3 $F_{0.5}$
TSLE_L0,0.01,99.86%,99.31%,89.88%,97.26%,99.71%,99.44%,77.48%,94.10%,99.86%,98.70%,91.80%,97.23%
,,(0.0009),(0.0309),(0.0303),(0.0306),(0.0009),(0.0157),(0.0140),(0.0151),(0.0008),(0.0293),(0.0376),(0.0304)
,0.05,98.59%,97.32%,88.06%,95.31%,97.61%,95.88%,74.36%,90.63%,98.55%,96.77%,89.79%,95.29%
,,(0.0052),(0.0309),(0.0293),(0.0303),(0.0049),(0.0270),(0.0224),(0.0258),(0.0047),(0.0290),(0.0287),(0.0288)
,0.10,96.04%,96.04%,87.06%,94.10%,93.94%,94.88%,73.72%,89.72%,96.10%,96.15%,89.36%,94.71%
,,(0.0124),(0.0386),(0.0354),(0.0378),(0.0112),(0.0228),(0.0178),(0.0216),(0.0111),(0.0265),(0.0252),(0.0262)
TSLE_Lasso,0.01,100.00%,99.91%,100.00%,99.93%,99.99%,99.43%,99.80%,99.50%,99.99%,99.65%,99.90%,99.70%
,,(0.0002),(0.0085),(0.0000),(0.0069),(0.0003),(0.0155),(0.0057),(0.0131),(0.0002),(0.0067),(0.0024),(0.0057)
,0.05,99.95%,99.45%,99.86%,99.53%,99.65%,96.66%,98.69%,97.06%,99.82%,99.27%,99.66%,99.35%
,,(0.0008),(0.0095),(0.0029),(0.0080),(0.0016),(0.0186),(0.0066),(0.0155),(0.0059),(0.0057),(0.0021),(0.0048)
,0.10,99.67%,98.26%,99.66%,98.54%,98.57%,93.63%,97.31%,94.34%,99.22%,98.73%,99.33%,98.85%
,,(0.0025),(0.0141),(0.0029),(0.0116),(0.0034),(0.0180),(0.0062),(0.0152),(0.0175),(0.0056),(0.0020),(0.0048)
TSLE_MCP,0.01,100.00%,99.68%,99.97%,99.73%,99.95%,97.08%,99.64%,97.57%,99.99%,99.35%,99.90%,99.46%
,,(0.0002),(0.0143),(0.0031),(0.0118),(0.0005),(0.0316),(0.0088),(0.0265),(0.0002),(0.0094),(0.0022),(0.0077)
,0.05,99.95%,99.47%,99.92%,99.56%,99.49%,94.86%,98.20%,95.50%,99.82%,97.96%,99.49%,98.26%
,,(0.0007),(0.0080),(0.0021),(0.0066),(0.0017),(0.0187),(0.0076),(0.0160),(0.0008),(0.0108),(0.0026),(0.0089)
,0.10,99.83%,99.10%,99.79%,99.24%,98.46%,93.02%,96.82%,93.75%,99.42%,96.93%,99.02%,97.34%
,,(0.0014),(0.0080),(0.0026),(0.0067),(0.0037),(0.0192),(0.0069),(0.0164),(0.0019),(0.0113),(0.0032),(0.0090)
