Method,zeta,Accuracy,Precision,Recall,$F_{0.5}$
TSLE_SCAD,0.01,0.937,0.733,0.750,0.712
,,(0.007),(0.050),(0.132),(0.125)
,0.05,0.927,0.687,0.633,0.659
,,(0.007),(0.057),(0.092),(0.098)
,0.10,0.903,0.578,0.474,0.514
,,(0.011),(0.111),(0.127),(0.124)
TSLE_Merged,0.01,0.967,0.860,0.916,0.863
,,(0.007),(0.022),(0.092),(0.087)
,0.05,0.946,0.779,0.714,0.741
,,(0.012),(0.100),(0.146),(0.156)
,0.10,0.916,0.626,0.498,0.586
,,(0.011),(0.076),(0.059),(0.076)
TSLE_Addition,0.01,0.993,0.980,0.950,0.966
,,(0.009),(0.004),(0.096),(0.097)
,0.05,0.963,0.866,0.741,0.815
,,(0.014),(0.092),(0.155),(0.167)
,0.10,0.927,0.680,0.507,0.630
,,(0.006),(0.040),(0.060),(0.068)
